"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
'kkr'	(('NNP', 1.0),)
'klan'	(('NNP', 1.0),)
'klass'	(('NNP', 1.0),)
'klatman'	(('NNP', 1.0),)
'klaus'	(('NNP', 1.0),)
'kleiber'	(('NNP', 1.0),)
'klein'	(('NNP', 1.0),)
'kleinaitis'	(('NNP', 1.0),)
'kleinman'	(('NNP', 1.0),)
'kleinwort'	(('NNP', 1.0),)
'klerk'	(('NNP', 1.0),)
'kline'	(('NNP', 1.0),)
'klineberg'	(('NNP', 1.0),)
'klinsky'	(('NNP', 1.0),)
'klm'	(('NNP', 1.0),)
'kloner'	(('NNP', 1.0),)
'kloves'	(('NNP', 1.0),)
'kluge'	(('NNP', 1.0),)
'klux'	(('NNP', 1.0),)
'knack'	(('NN', 1.0),)
'kneaded'	(('VBN', 1.0),)
'kneading'	(('VBG', 1.0),)
'knee'	(('NN', 1.0),)
'knee-jerk'	(('JJ', 1.0),)
'knees'	(('NNS', 1.0),)
'knew'	(('VBD', 1.0),)
'knife'	(('NN', 0.5), ('NNP', 0.5))
'knight'	(('NN', 0.6842), ('NNP', 0.3158))
'knight-ridder'	(('NNP', 1.0),)
'knights'	(('NNS', 1.0),)
'knit'	(('VBN', 1.0),)
'knitting'	(('VBG', 1.0),)
'knitwear'	(('NN', 1.0),)
'knock'	(('VB', 0.8333), ('NN', 0.1667))
'knock-out'	(('JJ', 1.0),)
'knocked'	(('VBD', 0.5882), ('VBN', 0.4118))
'knocking'	(('VBG', 1.0),)
'knockout'	(('NN', 1.0),)
'knocks'	(('VBZ', 1.0),)
'knopf'	(('NNP', 1.0),)
'knot'	(('NN', 1.0),)
'knots'	(('NNS', 1.0),)
'knotty'	(('JJ', 1.0),)
'know'	(('VB', 0.586), ('VBP', 0.4093), ('NNP', 0.0047))
'know-how'	(('NN', 1.0),)
'knowing'	(('VBG', 1.0),)
'knowledge'	(('NN', 1.0),)
'knowledgeable'	(('JJ', 1.0),)
'knowledgeware'	(('NNP', 1.0),)
'knowlton'	(('NNP', 1.0),)
'known'	(('VBN', 0.9521), ('JJ', 0.0479))
'knowns'	(('NNS', 1.0),)
'knows'	(('VBZ', 1.0),)
'knoxville'	(('NNP', 1.0),)
'knuckles'	(('NNS', 1.0),)
'knudsen'	(('NNP', 1.0),)
'knudson'	(('NNP', 1.0),)
'knuettel'	(('NNP', 1.0),)
'ko'	(('NNP', 1.0),)
'kobayashi'	(('NNP', 1.0),)
'kobe'	(('NNP', 1.0),)
'koch'	(('NNP', 1.0),)
'kochan'	(('NNP', 1.0),)
'kochis'	(('NNP', 1.0),)
'kodak'	(('NNP', 0.9706), ('NN', 0.0294))
'koenig'	(('NNP', 1.0),)
'koerner'	(('NNP', 1.0),)
'kofcoh'	(('NNP', 1.0),)
'koffman'	(('NNP', 1.0),)
'kofy'	(('NNP', 1.0),)
'kofy-fm'	(('NNP', 1.0),)
'kohl'	(('NNP', 1.0),)
'kohlberg'	(('NNP', 1.0),)
'kohut'	(('NNP', 1.0),)
'koji'	(('NNP', 1.0),)
'kolber'	(('NNP', 1.0),)
'kollmorgen'	(('NNP', 1.0),)
'kompakt'	(('NNP', 1.0),)
'kong'	(('NNP', 1.0),)
'kong-based'	(('JJ', 1.0),)
'kong-dollar'	(('NN', 1.0),)
'kongsberg'	(('NNP', 1.0),)
'konheim'	(('NNP', 1.0),)
'konner'	(('NNP', 1.0),)
'konopnicki'	(('NNP', 1.0),)
'konowitch'	(('NNP', 1.0),)
'kopp'	(('NNP', 1.0),)
'koppel'	(('NNP', 1.0),)
'koppers'	(('NNP', 1.0),)
'korando'	(('NNP', 1.0),)
'korbin'	(('NNP', 1.0),)
'korea'	(('NNP', 1.0),)
'koreagate'	(('NNP', 1.0),)
'korean'	(('JJ', 0.8158), ('NNP', 0.1842))
'koreans'	(('NNPS', 1.0),)
'korff'	(('NNP', 1.0),)
'kori'	(('NNP', 1.0),)
'korn\\/ferry'	(('NNP', 1.0),)
'kornfield'	(('NNP', 1.0),)
'kornreich'	(('NNP', 1.0),)
'korotich'	(('NNP', 1.0),)
'koskotas'	(('NNP', 1.0),)
'kosovo'	(('NNP', 1.0),)
'kossuth'	(('NNP', 1.0),)
'kostelanetz'	(('NNP', 1.0),)
'kotman'	(('NNP', 1.0),)
'kotobuki'	(('NNP', 1.0),)
'kouji'	(('NNP', 1.0),)
'kowtow'	(('VB', 1.0),)
'kozinski'	(('NNP', 1.0),)
'kpmg'	(('NNP', 1.0),)
'kraft'	(('NNP', 1.0),)
'krakow'	(('NNP', 1.0),)
'kramer'	(('NNP', 1.0),)
'krampe'	(('NNP', 1.0),)
'krasnow'	(('NNP', 1.0),)
'krasnoyarsk'	(('NNP', 1.0),)
'krat'	(('NNP', 1.0),)
'krater'	(('NN', 1.0),)
'kravis'	(('NNP', 1.0),)
'krebs'	(('NNP', 1.0),)
'kremlin'	(('NNP', 1.0),)
'krenz'	(('NNP', 1.0),)
'kress'	(('NNP', 1.0),)
'krick'	(('NNP', 1.0),)
'kringle'	(('NNP', 1.0),)
'krisher'	(('NNP', 1.0),)
'krishna'	(('NNP', 1.0),)
'krishnamurthy'	(('NNP', 1.0),)
'krishnaswami'	(('NNP', 1.0),)
'krispies'	(('NNPS', 1.0),)
'kristiansen'	(('NNP', 1.0),)
'kristin'	(('NNP', 1.0),)
'kristol'	(('NNP', 1.0),)
'kriz'	(('NNP', 1.0),)
'kroger'	(('NNP', 1.0),)
'kroll'	(('NNP', 1.0),)
'kron'	(('NNP', 1.0),)
'krona'	(('NN', 1.0),)
'kroner'	(('NN', 1.0),)
'kronor'	(('NNS', 0.9231), ('NN', 0.0769))
'krug'	(('NNP', 1.0),)
'kruger'	(('NNP', 1.0),)
'krupp'	(('NNP', 1.0),)
'krutchensky'	(('NNP', 1.0),)
'kryptonite'	(('NN', 1.0),)
'krys'	(('NNP', 1.0),)
'krysalis'	(('NNP', 1.0),)
'kryuchkov'	(('NNP', 1.0),)
'ksi'	(('NNP', 1.0),)
'ktxl'	(('NNP', 1.0),)
'ku'	(('NNP', 1.0),)
'kuala'	(('NNP', 1.0),)
'kuan'	(('NNP', 1.0),)
'kucharski'	(('NNP', 1.0),)
'kudos'	(('NNS', 1.0),)
'kuehler'	(('NNP', 1.0),)
'kuehn'	(('NNP', 1.0),)
'kueneke'	(('NNP', 1.0),)
'kuhns'	(('NNP', 1.0),)
'kuiper'	(('NNP', 1.0),)
'kumagai-gumi'	(('NNP', 1.0),)
'kume'	(('NNP', 1.0),)
'kummerfeld'	(('NNP', 1.0),)
'kurds'	(('NNPS', 1.0),)
'kurlak'	(('NNP', 1.0),)
'kurnit'	(('NNP', 1.0),)
'kursk'	(('NNP', 1.0),)
'kurt'	(('NNP', 1.0),)
'kurtanjek'	(('NNP', 1.0),)
'kurtz'	(('NNP', 1.0),)
'kurzweil'	(('NNP', 1.0),)
'kuse'	(('NNP', 1.0),)
'kushkin'	(('NNP', 1.0),)
'kushnick'	(('NNP', 1.0),)
'kutney'	(('NNP', 1.0),)
'kuwait'	(('NNP', 1.0),)
'kwang'	(('NNP', 1.0),)
'kweisi'	(('NNP', 1.0),)
'kwek'	(('NNP', 1.0),)
'kwon'	(('NNP', 1.0),)
'ky'	(('NNP', 1.0),)
'ky.'	(('NNP', 1.0),)
'ky.-based'	(('JJ', 1.0),)
'kyle'	(('NNP', 1.0),)
'kylix'	(('NN', 1.0),)
'kyocera'	(('NNP', 1.0),)
'kyodo'	(('NNP', 1.0),)
'kyong'	(('NNP', 1.0),)
'kyoto'	(('NNP', 1.0),)
'kyowa'	(('NNP', 1.0),)
'kyu'	(('NNP', 1.0),)
'kyushu'	(('NNP', 1.0),)
'l'	(('NNP', 0.8), ('NN', 0.2))
'l-shaped'	(('JJ', 1.0),)
'l.'	(('NNP', 1.0),)
'l.a.'	(('NNP', 1.0),)
'l.h.'	(('NNP', 1.0),)
'l.j.'	(('NNP', 1.0),)
'l.l.'	(('NNP', 1.0),)
'l.m.'	(('NNP', 1.0),)
'l.p'	(('NNP', 1.0),)
'l.p.'	(('NNP', 0.8), ('NN', 0.2))
'l988'	(('CD', 1.0),)
'la'	(('NNP', 0.8293), ('FW', 0.122), ('DT', 0.0488))
'la-la'	(('JJ', 1.0),)
'la.'	(('NNP', 1.0),)
'lab'	(('NN', 1.0),)
'laband'	(('NNP', 1.0),)
'labatt'	(('NNP', 1.0),)
'labe'	(('NNP', 1.0),)
'label'	(('NN', 0.8182), ('VB', 0.0909), ('VBP', 0.0909))
'labeled'	(('VBN', 0.6667), ('VBD', 0.3333))
'labeling'	(('VBG', 1.0),)
'labella'	(('NNP', 1.0),)
'labels'	(('NNS', 0.8889), ('VBZ', 0.1111))
'labonte'	(('NNP', 1.0),)
'labor'	(('NN', 0.7417), ('NNP', 0.2583))
'labor-funded'	(('JJ', 1.0),)
'labor-intensive'	(('JJ', 1.0),)
'labor-management'	(('JJ', 0.56), ('NN', 0.44))
'laboratories'	(('NNS', 0.4545), ('NNP', 0.3182), ('NNPS', 0.2273))
'laboratorium'	(('NNP', 1.0),)
'laboratory'	(('NN', 0.5455), ('NNP', 0.4545))
'laboratory-services'	(('JJ', 1.0),)
'laborer'	(('NN', 1.0),)
'laborers'	(('NNS', 1.0),)
'laboring'	(('VBG', 1.0),)
'labors'	(('NNS', 1.0),)
'labovitz'	(('NNP', 1.0),)
'labrador'	(('NNP', 1.0),)
'labs'	(('NNS', 0.8571), ('NNPS', 0.1429))
'lac'	(('NNP', 1.0),)
'laced'	(('VBN', 1.0),)
'laches'	(('NN', 1.0),)
'lack'	(('NN', 0.9), ('VBP', 0.0857), ('NNP', 0.0143))
'lacked'	(('VBD', 0.9), ('VBN', 0.1))
'lackey'	(('NNP', 1.0),)
'lackeys'	(('NNS', 1.0),)
'lacking'	(('VBG', 1.0),)
'lackluster'	(('JJ', 0.8571), ('NN', 0.0952), ('RB', 0.0476))
'lacks'	(('VBZ', 1.0),)
'lad'	(('NN', 1.0),)
'lada'	(('NNP', 1.0),)
'ladder'	(('NN', 1.0),)
'laddered'	(('JJ', 1.0),)
'laden'	(('JJ', 1.0),)
'ladenburg'	(('NNP', 1.0),)
'ladies'	(('NNS', 0.75), ('NNP', 0.25))
'ladislav'	(('NNP', 1.0),)
'lady'	(('NN', 0.8571), ('NNP', 0.1429))
'lafalce'	(('NNP', 1.0),)
'lafarge'	(('NNP', 1.0),)
'laff'	(('NNP', 1.0),)
'lafontant'	(('NNP', 1.0),)
'lag'	(('NN', 0.4545), ('VB', 0.2727), ('VBP', 0.2727))
'laggard'	(('NN', 0.5), ('JJ', 0.5))
'lagged'	(('VBN', 0.5833), ('VBD', 0.4167))
'lagging'	(('VBG', 0.7), ('JJ', 0.2), ('NN', 0.1))
'lagnado'	(('NNP', 1.0),)
'lagoon'	(('NN', 1.0),)
'lagoons'	(('NNS', 1.0),)
'lags'	(('VBZ', 1.0),)
'laguardia'	(('NNP', 1.0),)
'lai'	(('NNP', 1.0),)
'laid'	(('VBN', 0.75), ('VBD', 0.25))
'laid-back'	(('JJ', 1.0),)
'laid-off'	(('JJ', 1.0),)
'laidig'	(('NNP', 1.0),)
'laidlaw'	(('NNP', 1.0),)
'laird'	(('NNP', 1.0),)
'laissez-faire'	(('FW', 1.0),)
'lake'	(('NNP', 0.9412), ('NN', 0.0588))
'lakeland'	(('NNP', 1.0),)
'lakes'	(('NNP', 0.75), ('NNS', 0.25))
'lakshmipura'	(('NNP', 1.0),)
'lalonde'	(('NNP', 1.0),)
'lama'	(('NNP', 1.0),)
'lamar'	(('NNP', 1.0),)
'lamb'	(('NNP', 1.0),)
'lambasted'	(('VBD', 1.0),)
'lambastes'	(('VBZ', 1.0),)
'lambda'	(('NNP', 1.0),)
'lambert'	(('NNP', 1.0),)
'lambskin'	(('NN', 1.0),)
'lame'	(('JJ', 1.0),)
'lament'	(('NN', 1.0),)
'lamented'	(('VBD', 1.0),)
'laments'	(('VBZ', 1.0),)
'lamle'	(('NNP', 1.0),)
'lamore'	(('NNP', 1.0),)
'lamos'	(('NNP', 1.0),)
'lamothe'	(('NNP', 1.0),)
'lamp'	(('NN', 1.0),)
'lamphere'	(('NNP', 1.0),)
'lampoon'	(('NNP', 1.0),)
'lampposts'	(('NNS', 1.0),)
'lamps'	(('NNS', 1.0),)
'lamson'	(('NNP', 1.0),)
'lancaster'	(('NNP', 1.0),)
'lance'	(('NNP', 1.0),)
'lancet'	(('NNP', 1.0),)
'lancia'	(('NNP', 1.0),)
'land'	(('NN', 0.7816), ('NNP', 0.1494), ('VB', 0.0575), ('VBP', 0.0115))
'land-based'	(('JJ', 1.0),)
'land-ownership'	(('NN', 1.0),)
'land-rich'	(('JJ', 1.0),)
'land-use'	(('NN', 1.0),)
'landed'	(('VBD', 0.8889), ('VBN', 0.1111))
'landesbank'	(('NNP', 1.0),)
'landfall'	(('NN', 1.0),)
'landfill'	(('NN', 0.875), ('NNP', 0.125))
'landfills'	(('NNS', 1.0),)
'landholdings'	(('NNS', 1.0),)
'landing'	(('NN', 0.8947), ('NNP', 0.0526), ('VBG', 0.0526))
'landings'	(('NNS', 1.0),)
'landlord'	(('NN', 1.0),)
'landlord-tenant'	(('JJ', 1.0),)
'landmark'	(('NN', 0.7143), ('JJ', 0.1429), ('NNP', 0.1429))
'landowner'	(('NN', 1.0),)
'landowners'	(('NNS', 1.0),)
'landry'	(('NNP', 1.0),)
'lands'	(('NNS', 1.0),)
'landscape'	(('NN', 0.9333), ('NNP', 0.0667))
'landscapers'	(('NNS', 1.0),)
'landscapes'	(('NNS', 1.0),)
'landscaping'	(('NN', 1.0),)
'landslide'	(('NN', 1.0),)
'landslides'	(('NNS', 1.0),)
'lane'	(('NNP', 0.9231), ('NN', 0.0769))
'lanes'	(('NNS', 1.0),)
'lang'	(('NNP', 1.0),)
'langendorf'	(('NNP', 1.0),)
'langford'	(('NNP', 1.0),)
'langton'	(('NNP', 1.0),)
'language'	(('NN', 1.0),)
'languages'	(('NNS', 1.0),)
'languish'	(('VB', 1.0),)
'languished'	(('VBD', 0.5), ('VBN', 0.5))
'languishes'	(('VBZ', 1.0),)
'languishing'	(('VBG', 1.0),)
'languorous'	(('JJ', 1.0),)
'lanier'	(('NNP', 1.0),)
'lanka'	(('NNP', 1.0),)
'lansing'	(('NNP', 1.0),)
'lantana'	(('NN', 1.0),)
'lantos'	(('NNP', 1.0),)
'lantz'	(('NNP', 1.0),)
'lanyi'	(('NNP', 1.0),)
'lanzador'	(('FW', 1.0),)
'lanzhou'	(('NNP', 1.0),)
'laos'	(('NNP', 1.0),)
'laotian'	(('JJ', 1.0),)
'lap'	(('VBP', 0.5), ('NN', 0.5))
'laphroaig'	(('NNP', 1.0),)
'lapse'	(('NN', 1.0),)
'lapsed'	(('JJ', 0.5), ('VBN', 0.5))
'lapses'	(('NNS', 1.0),)
'laptop'	(('NN', 0.6667), ('JJ', 0.3333))
'laptops'	(('NNS', 1.0),)
'larceny'	(('NN', 1.0),)
'larchmont'	(('NNP', 1.0),)
'lard'	(('NN', 1.0),)
'large'	(('JJ', 0.996), ('RB', 0.004))
'large-business'	(('JJ', 1.0),)
'large-capitalization'	(('JJ', 0.6667), ('NN', 0.3333))
'large-city'	(('JJ', 1.0),)
'large-denomination'	(('NN', 1.0),)
'large-diameter'	(('JJ', 1.0),)
'large-scale'	(('JJ', 1.0),)
'large-size'	(('JJ', 1.0),)
'large-ticket'	(('JJ', 1.0),)
'large-volume'	(('JJ', 1.0),)
'largely'	(('RB', 1.0),)
'larger'	(('JJR', 1.0),)
'largess'	(('NN', 1.0),)
'largest'	(('JJS', 1.0),)
'largest-ever'	(('JJ', 1.0),)
'largish'	(('JJ', 1.0),)
'larkin'	(('NNP', 1.0),)
'larosa'	(('NNP', 1.0),)
'larry'	(('NNP', 1.0),)
'larsen'	(('NNP', 1.0),)
'larson'	(('NNP', 1.0),)
'las'	(('NNP', 1.0),)
'lasalle'	(('NNP', 1.0),)
'lasciviously'	(('RB', 1.0),)
'laser'	(('NN', 0.8571), ('NNP', 0.1429))
'laser-beam-printer'	(('NN', 1.0),)
'laser-read'	(('JJ', 1.0),)
'lasers'	(('NNS', 1.0),)
'laserscope'	(('NNP', 1.0),)
'lash'	(('VB', 1.0),)
'lashed'	(('VBD', 1.0),)
'lashing'	(('VBG', 1.0),)
'lasker'	(('NNP', 1.0),)
'lasorda'	(('NNP', 1.0),)
'lassitude'	(('NN', 1.0),)
'last'	(('JJ', 0.9725), ('VB', 0.015), ('RB', 0.0108), ('NN', 0.0008), ('VBP', 0.0008))
'last-ditch'	(('JJ', 1.0),)
'last-minute'	(('JJ', 1.0),)
'last-place'	(('JJ', 1.0),)
'last-second'	(('JJ', 1.0),)
'lasted'	(('VBD', 0.625), ('VBN', 0.375))
'lastest'	(('JJS', 1.0),)
'lasting'	(('JJ', 0.625), ('VBG', 0.375))
'lasts'	(('VBZ', 1.0),)
'laszlo'	(('NNP', 1.0),)
'latch'	(('VBP', 1.0),)
'latches'	(('VBZ', 1.0),)
'latching'	(('VBG', 1.0),)
'late'	(('JJ', 0.7045), ('RB', 0.2925), ('NNP', 0.003))
'late-afternoon'	(('JJ', 1.0),)
'late-day'	(('JJ', 1.0),)
'late-night'	(('JJ', 1.0),)
'late-payment'	(('NN', 1.0),)
'late-summer\\/early-fall'	(('JJ', 1.0),)
'lately'	(('RB', 1.0),)
'latent'	(('NN', 1.0),)
'later'	(('RB', 0.7892), ('RBR', 0.157), ('JJ', 0.0493), ('JJR', 0.0045))
'latest'	(('JJS', 0.9954), ('JJ', 0.0046))
'latham'	(('NNP', 1.0),)
'lathes'	(('NNS', 1.0),)
'latin'	(('NNP', 0.625), ('JJ', 0.3438), ('NNPS', 0.0312))
'latitude'	(('NN', 1.0),)
'latowski'	(('NNP', 1.0),)
'latter'	(('JJ', 0.75), ('NN', 0.25))
'latter-day'	(('JJ', 1.0),)
'lattice'	(('NN', 1.0),)
'latvian'	(('JJ', 1.0),)
'laudable'	(('JJ', 1.0),)
'lauded'	(('VBD', 0.6667), ('VBN', 0.3333))
'lauder'	(('NNP', 1.0),)
'lauderdale'	(('NNP', 1.0),)
'laugh'	(('VB', 0.4), ('NN', 0.4), ('NNP', 0.2))
'laughed'	(('VBD', 0.75), ('VBN', 0.25))
'laughing'	(('VBG', 1.0),)
'laughingly'	(('RB', 1.0),)
'laughingstock'	(('NN', 1.0),)
'laughlin'	(('NNP', 1.0),)
'laughs'	(('VBZ', 0.75), ('NNS', 0.25))
'laughter'	(('NN', 1.0),)
'launch'	(('VB', 0.5641), ('NN', 0.4359))
'launched'	(('VBN', 0.549), ('VBD', 0.451))
'launches'	(('NNS', 0.6), ('VBZ', 0.4))
'launching'	(('VBG', 0.8667), ('NN', 0.1333))
'launder'	(('VB', 1.0),)
'laundered'	(('VBN', 0.6667), ('VBD', 0.3333))
'launderers'	(('NNS', 1.0),)
'laundering'	(('NN', 0.8333), ('VBG', 0.1667))
'laundry'	(('NN', 1.0),)
'laura'	(('NNP', 1.0),)
'laurance'	(('NNP', 1.0),)
'laureate'	(('NN', 1.0),)
'laurel'	(('NNP', 1.0),)
'lauren'	(('NNP', 1.0),)
'laurence'	(('NNP', 1.0),)
'laurie'	(('NNP', 1.0),)
'lausanne'	(('NNP', 1.0),)
'laux'	(('NNP', 1.0),)
'lavaro'	(('NN', 1.0),)
'lavelle'	(('NNP', 1.0),)
'lavender'	(('NN', 1.0),)
'lavery'	(('NNP', 1.0),)
'lavidge'	(('NNP', 1.0),)
'lavin'	(('NNP', 1.0),)
'lavish'	(('JJ', 1.0),)
'lavished'	(('VBN', 1.0),)
'lavishing'	(('VBG', 1.0),)
'lavishly'	(('RB', 1.0),)
'lavoro'	(('NNP', 1.0),)
'law'	(('NN', 0.9506), ('NNP', 0.0494))
'law-abiding'	(('JJ', 1.0),)
'law-enforcement'	(('JJ', 0.5714), ('NN', 0.4286))
'law-governed'	(('JJ', 1.0),)
'law-making'	(('NNS', 1.0),)
'laware'	(('NNP', 1.0),)
'lawarre'	(('NNP', 1.0),)
'lawful'	(('JJ', 1.0),)
'lawfully'	(('RB', 1.0),)
'lawmaker'	(('NN', 1.0),)
'lawmakers'	(('NNS', 1.0),)
'lawmaking'	(('NN', 1.0),)
'lawn'	(('NN', 1.0),)
'lawns'	(('NNS', 1.0),)
'lawrence'	(('NNP', 1.0),)
'lawrenceville'	(('NNP', 1.0),)
'lawrenson'	(('NNP', 1.0),)
'laws'	(('NNS', 1.0),)
'lawson'	(('NNP', 1.0),)
'lawsuit'	(('NN', 1.0),)
'lawsuits'	(('NNS', 0.9762), ('NN', 0.0238))
'lawton'	(('NNP', 1.0),)
'lawyer'	(('NN', 0.9857), ('NNP', 0.0143))
'lawyering'	(('NN', 1.0),)
'lawyers'	(('NNS', 0.9444), ('NNP', 0.0486), ('NNPS', 0.0069))
'lax'	(('JJ', 1.0),)
'laxative'	(('NN', 1.0),)
'laxatives'	(('NNS', 1.0),)
'lay'	(('VB', 0.5882), ('VBD', 0.3529), ('VBP', 0.0588))
'layer'	(('NN', 1.0),)
'layers'	(('NNS', 1.0),)
'laying'	(('VBG', 1.0),)
'layman'	(('NN', 1.0),)
'layoff'	(('NN', 1.0),)
'layoffs'	(('NNS', 1.0),)
'layout'	(('NN', 1.0),)
'lays'	(('VBZ', 1.0),)
'lazard'	(('NNP', 1.0),)
'lazarus'	(('NNP', 1.0),)
'lazily'	(('RB', 1.0),)
'lazy'	(('JJ', 1.0),)
'lbo'	(('NNP', 0.5455), ('NN', 0.4545))
'lbos'	(('NNS', 0.9167), ('NNP', 0.0833))
'ldc'	(('NNP', 1.0),)
'ldi'	(('NNP', 1.0),)
'ldp'	(('NNP', 1.0),)
'le'	(('FW', 0.5), ('NNP', 0.5))
'leach'	(('NNP', 1.0),)
'lead'	(('VB', 0.5122), ('NN', 0.2683), ('JJ', 0.1626), ('VBP', 0.0569))
'lead\\/sulfur'	(('NN', 1.0),)
'leaded'	(('JJ', 1.0),)
'leader'	(('NN', 0.874), ('NNP', 0.126))
'leaders'	(('NNS', 1.0),)
'leadership'	(('NN', 1.0),)
'leading'	(('VBG', 0.7623), ('JJ', 0.2377))
'leading-edge'	(('JJ', 1.0),)
'leadoff'	(('NN', 1.0),)
'leads'	(('VBZ', 0.8519), ('NNS', 0.1481))
'leaf'	(('NN', 0.6667), ('NNP', 0.3333))
'leaflets'	(('NNS', 1.0),)
'leafy'	(('JJ', 1.0),)
'league'	(('NNP', 0.5122), ('NN', 0.4878))
'league-sponsored'	(('JJ', 1.0),)
'leaguers'	(('NNS', 1.0),)
'leagues'	(('NNS', 0.6667), ('NNPS', 0.3333))
'leahy'	(('NNP', 1.0),)
'leaked'	(('VBD', 0.5), ('VBN', 0.5))
'leakers'	(('NNS', 1.0),)
'leaking'	(('VBG', 1.0),)
'leaks'	(('NNS', 1.0),)
'lean'	(('JJ', 0.6154), ('VB', 0.3077), ('VBP', 0.0769))
'leaned'	(('VBD', 0.5), ('VBN', 0.5))
'leaner'	(('JJR', 0.6667), ('RBR', 0.3333))
'leaning'	(('VBG', 0.8), ('NNP', 0.2))
'leans'	(('VBZ', 1.0),)
'leap'	(('NN', 0.625), ('VB', 0.375))
'leaped'	(('VBD', 0.875), ('VBN', 0.125))
'leapfrog'	(('VB', 1.0),)
'leaping'	(('VBG', 1.0),)
'learn'	(('VB', 0.7308), ('VBP', 0.2692))
'learned'	(('VBD', 0.5455), ('VBN', 0.4545))
'learning'	(('VBG', 0.7619), ('NNP', 0.1905), ('NN', 0.0476))
'learns'	(('VBZ', 1.0),)
'leasable'	(('JJ', 1.0),)
'lease'	(('VB', 0.4348), ('NN', 0.4348), ('NNP', 0.087), ('VBP', 0.0435))
'lease-rental'	(('JJ', 1.0),)
'leased'	(('VBN', 0.8182), ('VBD', 0.1818))
'leases'	(('NNS', 0.7), ('VBZ', 0.3))
'leaseway'	(('NNP', 1.0),)
'leasing'	(('NN', 0.6522), ('VBG', 0.2609), ('NNP', 0.087))
'least'	(('JJS', 0.9726), ('RBS', 0.0274))
'least-cost'	(('JJ', 1.0),)
'leather'	(('NN', 1.0),)
'leatherbound'	(('NN', 1.0),)
'leathers'	(('NNS', 1.0),)
'leave'	(('VB', 0.7349), ('VBP', 0.1928), ('NN', 0.0723))
'leaves'	(('VBZ', 0.7857), ('NNS', 0.2143))
'leaving'	(('VBG', 0.9808), ('NN', 0.0192))
'leavitt'	(('NNP', 1.0),)
'lebanese'	(('JJ', 1.0),)
'lebanon'	(('NNP', 1.0),)
'lebaron'	(('NNP', 1.0),)
'leblang'	(('NNP', 1.0),)
'lebow'	(('NNP', 1.0),)
'lech'	(('NNP', 1.0),)
'leche'	(('NNP', 1.0),)
'lecheria'	(('NNP', 1.0),)
'lecherous'	(('JJ', 1.0),)
'lecture'	(('VB', 0.4), ('NN', 0.4), ('VBP', 0.2))
'lectured'	(('VBD', 1.0),)
'lecturer'	(('NN', 1.0),)
'lectures'	(('VBZ', 1.0),)
'led'	(('VBN', 0.6289), ('VBD', 0.3711))
'lederberg'	(('NNP', 1.0),)
'lederer'	(('NNP', 1.0),)
'ledger'	(('NNP', 1.0),)
'ledgers'	(('NNS', 1.0),)
'lee'	(('NNP', 1.0),)
'leemans'	(('NNP', 1.0),)
'leery'	(('JJ', 1.0),)
'lees'	(('NNP', 1.0),)
'leeway'	(('NN', 1.0),)
'leeza'	(('NNP', 1.0),)
'lefcourt'	(('NNP', 1.0),)
'lefrere'	(('NNP', 1.0),)
'left'	(('VBN', 0.481), ('VBD', 0.4241), ('NN', 0.038), ('JJ', 0.038), ('RB', 0.0127))
'left-hand'	(('JJ', 1.0),)
'left-handed'	(('JJ', 1.0),)
'left-leaning'	(('JJ', 1.0),)
'left-of-center'	(('JJ', 1.0),)
'left-right'	(('JJ', 1.0),)
'left-stream'	(('JJ', 1.0),)
'left-wing'	(('JJ', 1.0),)
'leftfield'	(('NN', 1.0),)
'leftist'	(('JJ', 1.0),)
'leftists'	(('NNS', 1.0),)
'leftovers'	(('NNP', 1.0),)
'lefty'	(('NNP', 1.0),)
'leg'	(('NN', 1.0),)
'legacy'	(('NN', 1.0),)
'legal'	(('JJ', 0.9375), ('NNP', 0.0625))
'legal-services'	(('NNS', 1.0),)
'legalistic'	(('JJ', 1.0),)
'legality'	(('NN', 1.0),)
'legalization'	(('NN', 1.0),)
'legalizing'	(('VBG', 1.0),)
'legally'	(('RB', 1.0),)
'legend'	(('NN', 0.5), ('NNP', 0.5))
'legendary'	(('JJ', 1.0),)
'legent'	(('NNP', 1.0),)
'legerdemain'	(('NN', 1.0),)
'legere'	(('NNP', 1.0),)
'legg'	(('NNP', 1.0),)
'legion'	(('NN', 0.5), ('NNP', 0.5))
'legions'	(('NNS', 1.0),)
'legislate'	(('VB', 1.0),)
'legislating'	(('NN', 1.0),)
'legislation'	(('NN', 0.9913), ('NNP', 0.0087))
'legislative'	(('JJ', 1.0),)
'legislator'	(('NN', 1.0),)
'legislators'	(('NNS', 1.0),)
'legislature'	(('NN', 0.8636), ('NNP', 0.1364))
'legislatures'	(('NNS', 1.0),)
'legitimacy'	(('NN', 1.0),)
'legitimate'	(('JJ', 1.0),)
'legitimately'	(('RB', 1.0),)
'legitimize'	(('VB', 1.0),)
'legitimized'	(('VBN', 1.0),)
'legittino'	(('NNP', 1.0),)
'lego'	(('NNP', 1.0),)
'legs'	(('NNS', 1.0),)
'legume'	(('NN', 1.0),)
'lehigh'	(('NNP', 1.0),)
'lehman'	(('NNP', 1.0),)
'lehmans'	(('NNPS', 1.0),)
'lehn'	(('NNP', 1.0),)
'lehne'	(('NNP', 1.0),)
'leibowitz'	(('NNP', 1.0),)
'leiby'	(('NNP', 1.0),)
